universe_code,universe_name,movie_code,movie_name,country_code,country_name,release_date,opening,gross
1000,MCU,3,Iron Man 2,82,South Korea,29-Apr-10,9466977,27095727
1000,MCU,3,Iron Man 2,886,Taiwan,1-May-10,1062203,4036495
1000,MCU,3,Iron Man 2,66,Thailand,29-Apr-10,2157185,4618190
1000,MCU,3,Iron Man 2,84,Vietnam,7-May-10,N/A,N/A
1000,MCU,3,Iron Man 2,86,China,7-May-10,N/A,7919827
1000,MCU,4,Thor,1,United States,6-May-11,65723338,181030624
1000,MCU,4,Thor,43,Austria,27-Apr-11,531607,1665346
1000,MCU,4,Thor,32,Belgium,27-Apr-11,444944,1255410
1000,MCU,4,Thor,359,Bulgaria,29-Apr-11,157268,577677
1000,MCU,4,Thor,385,Croatia,28-Apr-11,138960,368650
1000,MCU,4,Thor,357,Cyprus,29-Apr-11,N/A,N/A
1000,MCU,4,Thor,420,Czech Republic,28-Apr-11,246626,735683
1000,MCU,4,Thor,45,Denmark,28-Apr-11,N/A,1529183
1000,MCU,4,Thor,1003,East Africa,6-May-11,N/A,50606
1000,MCU,4,Thor,20,Egypt,27-Apr-11,51548,156908
1000,MCU,4,Thor,372,Estonia,29-Apr-11,54254,128052
1000,MCU,4,Thor,358,Finland,6-May-11,107711,418130
1000,MCU,4,Thor,33,France,27-Apr-11,8690043,18370989
1000,MCU,4,Thor,49,Germany,28-Apr-11,5390785,16007303
1000,MCU,4,Thor,233,Ghana,6-May-11,9218,30017
1000,MCU,4,Thor,30,Greece,28-Apr-11,859139,1852788
1000,MCU,4,Thor,36,Hungary,28-Apr-11,262875,744824
1000,MCU,4,Thor,354,Iceland,29-Apr-11,93201,261866
1000,MCU,4,Thor,353,Ireland,29-Apr-11,N/A,N/A
1000,MCU,4,Thor,972,Israel,28-Apr-11,215170,748171
1000,MCU,4,Thor,39,Italy,27-Apr-11,4195996,10900780
1000,MCU,4,Thor,371,Latvia,27-Apr-11,34374,96627
1000,MCU,4,Thor,961,Lebanon,28-Apr-11,97630,282342
1000,MCU,4,Thor,370,Lithuania,6-May-11,31038,74700
1000,MCU,4,Thor,31,Netherlands,28-Apr-11,542287,1953880
1000,MCU,4,Thor,234,Nigeria,6-May-11,37792,140960
1000,MCU,4,Thor,47,Norway,29-Apr-11,579799,2026533
1000,MCU,4,Thor,48,Poland,29-Apr-11,476913,1612281
1000,MCU,4,Thor,351,Portugal,28-Apr-11,617766,1355963
1000,MCU,4,Thor,40,Romania,29-Apr-11,N/A,772310
1000,MCU,4,Thor,1008,Serbia and Montenegro,28-Apr-11,9641,72757
1000,MCU,4,Thor,421,Slovakia,28-Apr-11,71837,193658
