movie_code,country_code,release_date,opening,gross
6,55,27-Apr-12,"$10,814,407 ","$63,904,807 "
6,56,26-Apr-12,"$1,733,780 ","$9,247,146 "
6,57,27-Apr-12,"$2,314,014 ","$7,140,604 "
6,593,27-Apr-12,"$1,294,001 ","$5,410,298 "
6,52,27-Apr-12,"$17,439,946 ","$61,748,523 "
6,51,26-Apr-12,"$2,230,676 ","$8,523,744 "
6,598,27-Apr-12,"$119,780 ","$517,473 "
6,58,27-Apr-12,"$1,585,295 ","$13,216,039 "
6,61,25-Apr-12,"$13,923,182 ","$54,385,465 "
6,852,26-Apr-12,"$4,351,700 ","$12,468,825 "
6,91,27-Apr-12,Unknown,"$12,616,061 "
6,62,4-May-12,"$2,914,124 ","$11,949,911 "
6,81,14-Aug-12,"$6,386,185 ","$33,019,883 "
6,60,27-Apr-12,"$3,302,692 ","$10,965,615 "
6,64,25-Apr-12,"$1,677,054 ","$7,140,832 "
6,63,25-Apr-12,"$6,580,876 ","$14,382,992 "
6,1007,3-May-12,"$14,954,518 ","$43,677,418 "
6,65,1-May-12,"$3,441,766 ","$11,172,253 "
6,82,26-Apr-20,"$35,745 ","$48,651,463 "
6,886,25-Apr-12,Unknown,"$20,100,000 "
6,66,1-May-12,"$2,537,093 ","$7,935,363 "
6,86,4-May-12,Unknown,"$86,300,000 "
7,1,3-May-13,"$174,144,585 ","$409,013,994 "
7,43,1-May-13,"$957,272 ","$3,524,852 "
7,32,24-Apr-13,"$1,006,153 ","$3,511,575 "
7,359,26-Apr-13,Unknown,"$651,777 "
7,385,25-Apr-13,"$135,300 ","$368,750 "
7,420,2-May-13,"$669,480 ","$1,895,271 "
7,45,25-Apr-13,"$1,455,234 ","$4,432,711 "
7,1003,1-May-13,"$95,957 ","$347,448 "
7,20,1-May-13,"$217,954 ","$799,411 "
7,358,24-Apr-13,"$538,759 ","$1,892,796 "
7,33,24-Apr-13,"$14,900,795 ","$38,962,258 "
7,49,1-May-13,"$8,998,608 ","$24,368,143 "
7,30,25-Apr-13,"$714,766 ","$2,049,858 "
7,36,25-Apr-13,"$576,846 ","$2,023,575 "
7,354,26-Apr-13,"$76,274 ","$379,577 "
7,972,2-May-13,"$540,686 ","$2,152,217 "
7,39,24-Apr-13,"$9,044,472 ","$20,910,968 "
7,961,2-May-13,"$265,853 ","$576,545 "
7,31,25-Apr-13,"$1,426,835 ","$5,720,784 "
7,47,26-Apr-13,"$1,840,342 ","$5,330,071 "
7,48,9-May-13,"$1,507,571 ","$4,252,929 "
7,351,25-Apr-13,"$575,105 ","$1,673,680 "
7,1008,2-May-13,"$17,063 ","$123,278 "
7,421,2-May-13,"$180,471 ","$502,989 "
7,386,25-Apr-13,"$43,111 ","$178,149 "
7,27,1-May-13,"$1,504,233 ","$3,188,171 "
7,34,26-Apr-13,"$4,990,454 ","$13,049,065 "
7,46,24-Apr-13,"$1,782,207 ","$5,500,507 "
7,90,3-May-13,"$1,418,479 ","$4,509,262 "
7,380,2-May-13,"$1,377,169 ","$3,290,686 "
7,971,2-May-13,"$2,915,592 ","$5,725,369 "
7,44,25-Apr-13,"$21,215,105 ","$57,074,453 "
7,54,25-Apr-13,"$3,852,313 ","$13,556,234 "
7,591,25-Apr-13,"$385,991 ","$1,444,620 "
7,55,26-Apr-13,"$11,694,313 ","$47,874,596 "
7,56,25-Apr-13,"$1,983,813 ","$7,848,244 "
7,57,26-Apr-13,"$2,493,283 ","$5,870,418 "
7,593,26-Apr-13,"$1,481,236 ","$4,534,301 "
7,52,26-Apr-13,"$17,067,467 ","$48,566,365 "
7,51,25-Apr-13,"$1,919,107 ","$5,794,748 "
7,598,26-Apr-13,"$136,332 ","$507,296 "
7,58,26-Apr-13,"$2,384,218 ","$12,442,756 "
7,61,25-Apr-13,"$14,493,785 ","$36,164,486 "
7,852,25-Apr-13,"$4,709,819 ","$13,705,128 "
7,91,26-Apr-13,"$5,113,914 ","$12,209,244 "
7,62,25-Apr-13,"$4,503,798 ","$15,308,150 "
7,81,26-Apr-13,"$4,229,227 ","$25,185,661 "
7,60,26-Apr-13,"$4,725,529 ","$13,909,003 "
7,64,25-Apr-13,"$1,956,469 ","$5,226,081 "
7,63,24-Apr-13,"$7,413,925 ","$14,949,472 "
7,1007,2-May-13,"$23,120,207 ","$44,220,462 "
7,65,26-Apr-13,"$3,761,476 ","$10,210,551 "
7,82,25-Apr-13,"$16,498,150 ","$64,211,513 "
7,66,1-May-13,"$3,513,762 ","$8,866,802 "
7,86,1-May-13,Unknown,"$121,200,000 "
8,1,8-Nov-13,"$85,737,841 ","$206,362,140 "
8,43,31-Oct-13,"$935,519 ","$2,561,728 "
8,32,30-Oct-13,"$944,545 ","$2,230,285 "
8,359,1-Nov-13,"$233,383 ","$883,334 "
8,385,7-Nov-13,"$122,662 ","$309,572 "
8,420,7-Nov-13,"$543,311 ","$1,398,191 "
8,45,31-Oct-13,"$849,842 ","$2,128,547 "
8,1003,8-Nov-13,"$58,740 ","$204,454 "
8,20,6-Nov-13,"$84,012 ","$536,616 "
8,358,30-Oct-13,"$304,733 ","$1,129,411 "
8,33,30-Oct-13,"$9,943,279 ","$22,289,092 "
8,49,31-Oct-13,"$8,308,931 ","$20,356,156 "
8,30,21-Nov-13,"$546,600 ","$1,267,903 "
8,36,14-Nov-13,"$464,669 ","$1,104,097 "
8,354,1-Nov-13,"$95,935 ","$306,525 "
8,972,31-Oct-13,"$403,587 ","$1,149,742 "
8,39,20-Nov-13,"$4,964,804 ","$11,176,894 "
8,961,7-Nov-13,"$193,298 ","$523,712 "
8,31,31-Oct-13,"$1,017,499 ","$3,212,754 "
8,234,8-Nov-13,"$57,659 ","$164,215 "
8,47,1-Nov-13,Unknown,"$2,546,889 "
8,48,8-Nov-13,"$1,043,909 ","$3,160,256 "
8,351,31-Oct-13,"$497,854 ","$1,485,608 "
8,1008,7-Nov-13,"$31,674 ","$146,913 "
8,421,7-Nov-13,"$192,917 ","$493,999 "
8,386,31-Oct-13,"$40,992 ","$148,061 "
8,27,8-Nov-13,"$527,618 ","$2,068,342 "
8,34,31-Oct-13,"$3,339,249 ","$8,862,218 "
8,46,30-Oct-13,"$1,162,406 ","$3,944,319 "
8,90,1-Nov-13,"$1,009,317 ","$3,692,896 "
8,380,31-Oct-13,"$898,768 ","$2,787,498 "
8,971,7-Nov-13,"$1,567,488 ","$3,451,574 "
8,44,30-Oct-13,"$13,804,931 ","$26,224,037 "
8,54,14-Nov-13,"$1,734,845 ","$5,646,086 "
8,591,7-Nov-13,"$228,827 ","$1,108,797 "
8,55,1-Nov-13,"$6,691,007 ","$27,751,884 "
8,56,7-Nov-13,"$972,471 ","$3,330,635 "
8,57,1-Nov-13,"$1,627,176 ","$4,085,479 "
8,593,8-Nov-13,"$948,093 ","$2,790,162 "
8,52,1-Nov-13,"$8,256,931 ","$23,857,540 "
8,51,7-Nov-13,"$1,380,237 ","$4,040,720 "
8,598,7-Nov-13,"$75,163 ","$205,337 "
8,58,8-Nov-13,"$1,397,306 ","$9,147,580 "
